type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
node,planet_0,root,0,0,296,17.02754,7.269288,0.36259696,
node,0_leaf_0,planet_0,0,1,16,16.211828,6.537281,0.33580792,
image,,0_leaf_0,0,2,1,16.151066,6.450521,0.36427227,8962.jpg
image,,0_leaf_0,0,2,1,16.144028,6.4961386,0.3639579,12506.jpg
image,,0_leaf_0,0,2,1,16.230171,6.507793,0.3476308,7852.jpg
image,,0_leaf_0,0,2,1,16.343388,6.5448213,0.413137,9983.jpg
image,,0_leaf_0,0,2,1,16.17787,6.509886,0.3768727,11535.jpg
image,,0_leaf_0,0,2,1,16.234545,6.56304,0.2967019,11579.jpg
image,,0_leaf_0,0,2,1,16.231369,6.5882,0.31980908,7274.jpg
image,,0_leaf_0,0,2,1,16.17923,6.6597977,0.27702677,14452.jpg
image,,0_leaf_0,0,2,1,16.262323,6.555396,0.35781297,521.jpg
image,,0_leaf_0,0,2,1,16.238825,6.6344733,0.26872304,8208.jpg
image,,0_leaf_0,0,2,1,16.207552,6.499606,0.34579766,4616.jpg
image,,0_leaf_0,0,2,1,16.19104,6.500278,0.3584481,18281.jpg
image,,0_leaf_0,0,2,1,16.16837,6.4717584,0.32482275,1670.jpg
image,,0_leaf_0,0,2,1,16.176104,6.511856,0.30724588,16153.jpg
image,,0_leaf_0,0,2,1,16.204617,6.6069474,0.30353373,7128.jpg
image,,0_leaf_0,0,2,1,16.248747,6.495997,0.34713504,9176.jpg
node,0_leaf_1,planet_0,0,1,196,17.108124,7.297956,0.3488066,
image,,0_leaf_1,0,2,1,16.888855,6.8368464,0.16902892,845.jpg
image,,0_leaf_1,0,2,1,16.5883,6.9439764,-0.03612963,8210.jpg
image,,0_leaf_1,0,2,1,16.96107,7.430641,0.18205673,7616.jpg
image,,0_leaf_1,0,2,1,16.635366,6.702137,0.046468142,5920.jpg
image,,0_leaf_1,0,2,1,16.39124,7.3656716,0.18103,533.jpg
image,,0_leaf_1,0,2,1,17.412685,7.594325,0.76368755,14067.jpg
