type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
node,planet_0,root,0,0,612,10.3154335,8.418064,3.401593,
node,0_node_0,0_node_663,0,10,8,10.681847,9.171062,3.3735108,
node,0_node_1,0_node_637,0,8,573,10.315615,8.419029,3.3904219,
node,0_node_612,planet_0,0,1,581,10.320657,8.429384,3.3901892,
node,0_node_614,0_node_612,0,2,581,10.320657,8.429384,3.3901892,
node,0_node_615,0_node_614,0,3,581,10.320657,8.429384,3.3901892,
node,0_node_617,0_node_615,0,4,581,10.320657,8.429384,3.3901892,
node,0_node_619,0_node_617,0,5,581,10.320657,8.429384,3.3901892,
node,0_node_630,0_node_619,0,6,581,10.320657,8.429384,3.3901892,
node,0_node_637,0_node_630,0,7,573,10.315615,8.419029,3.3904219,
node,0_node_638,0_node_630,0,7,8,10.681847,9.171062,3.3735108,
node,0_node_656,0_node_638,0,8,8,10.681847,9.171062,3.3735108,
node,0_node_663,0_node_656,0,9,8,10.681847,9.171062,3.3735108,
image,,0_node_1,0,9,1,10.44517,6.9399166,3.187927,16500.jpg
image,,0_node_1,0,9,1,9.724591,7.0574894,3.4473171,321.jpg
image,,0_node_1,0,9,1,10.203566,7.54869,3.0881286,747.jpg
image,,0_node_1,0,9,1,10.097722,6.9998493,2.6994855,14661.jpg
image,,0_node_1,0,9,1,10.317104,6.907846,2.6710021,993.jpg
image,,0_node_1,0,9,1,10.141657,6.9081125,2.8675451,6909.jpg
image,,0_node_1,0,9,1,9.982157,6.7952027,3.341418,7926.jpg
image,,0_node_1,0,9,1,10.875718,8.459399,3.8441212,14758.jpg
image,,0_node_1,0,9,1,10.015847,7.2291226,3.4809608,19153.jpg
image,,0_node_1,0,9,1,10.865005,7.623196,3.155039,17270.jpg
image,,0_node_1,0,9,1,10.11634,7.1974363,2.6645308,506.jpg
image,,0_node_1,0,9,1,10.930752,8.353664,2.873899,10316.jpg
image,,0_node_1,0,9,1,10.587301,8.287725,3.712181,15091.jpg
image,,0_node_1,0,9,1,10.475275,6.8245564,3.140855,3888.jpg
image,,0_node_1,0,9,1,10.342714,6.92673,2.7428222,11371.jpg
image,,0_node_1,0,9,1,10.447738,6.9396706,2.8144212,7574.jpg
image,,0_node_1,0,9,1,11.022256,8.206285,3.0630589,8513.jpg
image,,0_node_1,0,9,1,9.950299,7.3146467,2.819417,17065.jpg
image,,0_node_1,0,9,1,11.116877,8.23415,3.7100933,12489.jpg
image,,0_node_1,0,9,1,10.443487,6.8681602,3.1929226,19016.jpg
image,,0_node_1,0,9,1,10.927279,8.064696,2.9851806,2653.jpg
image,,0_node_1,0,9,1,10.1059675,6.9064746,3.5278304,2238.jpg
image,,0_node_1,0,9,1,11.012732,8.181191,3.5676694,2099.jpg
image,,0_node_1,0,9,1,9.945263,7.3278193,2.6862674,5302.jpg
image,,0_node_1,0,9,1,11.122001,8.307892,3.7582688,15147.jpg
image,,0_node_1,0,9,1,11.202318,7.8261905,2.8476408,12669.jpg
image,,0_node_1,0,9,1,10.809869,7.646808,3.3271613,13901.jpg
image,,0_node_1,0,9,1,10.145053,6.92362,2.6112652,14681.jpg
image,,0_node_1,0,9,1,11.33834,8.327674,3.6937394,1716.jpg
image,,0_node_1,0,9,1,9.934703,6.731999,3.8844397,15827.jpg
image,,0_node_1,0,9,1,10.6463585,7.3862653,2.936523,17853.jpg
image,,0_node_1,0,9,1,11.556234,8.461925,3.871452,1787.jpg
image,,0_node_1,0,9,1,10.898101,7.9188843,2.8788989,19332.jpg
image,,0_node_1,0,9,1,11.355614,7.847961,2.9809542,11899.jpg
image,,0_node_1,0,9,1,10.377797,8.195936,3.9607022,1684.jpg
image,,0_node_1,0,9,1,10.060248,7.709384,2.8050406,16466.jpg
image,,0_node_1,0,9,1,10.730956,7.1163073,3.0300648,4016.jpg
image,,0_node_1,0,9,1,11.19067,7.7730927,2.8451278,13827.jpg
image,,0_node_1,0,9,1,11.198251,8.760561,3.898905,11108.jpg
image,,0_node_1,0,9,1,10.954091,7.9211173,3.217687,18115.jpg
image,,0_node_1,0,9,1,11.01058,8.620227,3.8655024,142.jpg
