type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
node,planet_0,root,0,0,601,-3.3490338,-2.6194746,3.6150122,
node,0_cluster_0,planet_0,0,1,54,-3.7077942,-1.530414,3.0768588,
image,,0_cluster_0,0,2,1,-3.7927847,-1.643808,3.0626879,9498.jpg
image,,0_cluster_0,0,2,1,-3.3929353,-1.510557,2.9528344,2202.jpg
image,,0_cluster_0,0,2,1,-3.4979656,-1.5549455,2.8313,3453.jpg
image,,0_cluster_0,0,2,1,-3.5333543,-1.3831316,2.747279,2287.jpg
image,,0_cluster_0,0,2,1,-3.6137726,-1.3464544,2.9503198,18980.jpg
image,,0_cluster_0,0,2,1,-3.851451,-1.6924269,3.2648833,12398.jpg
image,,0_cluster_0,0,2,1,-3.9193916,-1.5767514,3.1086714,13699.jpg
image,,0_cluster_0,0,2,1,-3.6498013,-1.3214538,2.8721826,13794.jpg
image,,0_cluster_0,0,2,1,-3.8017535,-1.4456662,3.1461995,5060.jpg
image,,0_cluster_0,0,2,1,-3.554166,-1.4944453,2.8906815,9734.jpg
image,,0_cluster_0,0,2,1,-3.8297951,-1.4777924,3.2979827,19195.jpg
image,,0_cluster_0,0,2,1,-3.806639,-1.3746222,2.9309037,7717.jpg
image,,0_cluster_0,0,2,1,-3.9547489,-1.5422277,2.9275203,4531.jpg
image,,0_cluster_0,0,2,1,-3.7666435,-1.6453217,3.4766726,2884.jpg
image,,0_cluster_0,0,2,1,-3.8812215,-1.758816,3.0287316,2421.jpg
image,,0_cluster_0,0,2,1,-3.3367345,-1.400375,3.0022957,7220.jpg
image,,0_cluster_0,0,2,1,-3.5071404,-1.4184669,2.8066275,1435.jpg
image,,0_cluster_0,0,2,1,-3.4425285,-1.2755849,2.9272,16055.jpg
image,,0_cluster_0,0,2,1,-3.326744,-1.2350798,3.3761454,13233.jpg
image,,0_cluster_0,0,2,1,-3.7889018,-1.352047,2.8834648,9717.jpg
image,,0_cluster_0,0,2,1,-3.938491,-1.6458608,3.2087343,9349.jpg
