type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
node,planet_0,root,0,0.0,617,-2.4600918,4.497777,8.532558,
node,0_node_1,0_node_618,0,,14,-3.155123,5.153161,8.375459,
node,0_node_2,0_node_617,0,,7,-3.168064,4.7917204,8.290723,
node,0_node_3,0_node_618,0,,16,-2.875985,5.0640306,9.111233,
node,0_node_4,0_node_642,0,,17,-3.377013,4.6146092,8.898093,
node,0_node_643,0_node_637,0,,38,-2.436116,3.775377,8.722819,
node,0_node_6,0_node_623,0,,12,-1.6529018,4.3793907,8.732566,
node,0_node_7,0_node_617,0,,14,-2.0872664,3.538155,9.369682,
node,0_node_642,0_node_637,0,,33,-2.4406447,4.913616,8.523049,
node,0_node_9,0_node_643,0,,7,-2.3171942,5.3909554,7.913806,
node,0_node_11,0_node_623,0,,52,-2.8904455,3.0709462,8.701458,
node,0_node_12,0_node_618,0,,7,-2.3177605,5.073108,8.793913,
node,0_node_653,0_node_643,0,,24,-2.499148,3.278807,9.106735,
node,0_node_14,0_node_627,0,,5,-1.2461787,4.987317,8.064598,
node,0_node_15,0_node_620,0,,37,-1.9850088,5.1186624,8.893125,
node,0_node_16,0_node_642,0,,16,-1.4457529,5.2313137,8.124561,
node,0_node_652,0_node_643,0,,7,-2.3389282,3.8623211,8.215547,
node,0_node_617,planet_0,0,,365,-2.5406005,4.4804716,8.553053,
node,0_node_618,0_node_617,0,,344,-2.546282,4.5124884,8.525156,
node,0_node_620,0_node_618,0,,163,-2.6995742,4.4810085,8.718741,
node,0_node_621,0_node_618,0,,144,-2.2880473,4.397304,8.242401,
node,0_node_622,0_node_621,0,,7,-1.4759599,5.0633974,8.682233,
node,0_node_623,0_node_621,0,,137,-2.329541,4.3632693,8.219929,
node,0_node_626,0_node_620,0,,50,-3.7448123,4.209276,8.781173,
node,0_node_627,0_node_620,0,,76,-2.3597972,4.3493447,8.592771,
node,0_node_631,0_node_623,0,,73,-2.04122,5.2811775,7.792646,
node,0_node_637,0_node_627,0,,71,-2.4382207,4.3044186,8.629966,
node,0_node_638,0_node_631,0,,23,-1.7009846,4.677834,7.918862,
node,0_node_639,0_node_631,0,,50,-2.197728,5.558716,7.7345843,
image,,0_node_11,0,,1,-3.1133363,3.3303962,8.768712,10720.jpg
image,,0_node_11,0,,1,-2.8400776,3.0990515,8.799145,6961.jpg
image,,0_node_11,0,,1,-2.9047236,2.9610462,8.484726,10251.jpg
image,,0_node_11,0,,1,-2.8213558,2.9903622,8.468856,5820.jpg
image,,0_node_11,0,,1,-2.871126,2.8669634,8.93978,12590.jpg
image,,0_node_11,0,,1,-2.7489104,2.8301826,8.567128,14300.jpg
image,,0_node_11,0,,1,-3.047204,3.3552375,8.908928,505.jpg
image,,0_node_11,0,,1,-2.637403,2.8990314,8.551649,1943.jpg
image,,0_node_11,0,,1,-3.041124,3.2664938,9.010955,17602.jpg
image,,0_node_11,0,,1,-2.9563239,3.208691,8.686774,7634.jpg
image,,0_node_11,0,,1,-2.9434538,3.2764497,8.864822,1064.jpg
image,,0_node_11,0,,1,-2.78064,3.265749,8.890789,8897.jpg
image,,0_node_11,0,,1,-2.923834,3.3192945,8.685679,13823.jpg
image,,0_node_11,0,,1,-2.9920504,3.0414298,8.633793,16889.jpg
image,,0_node_11,0,,1,-2.9687893,3.0070384,8.954838,18034.jpg
image,,0_node_11,0,,1,-3.1011417,3.3139806,8.830004,6780.jpg
image,,0_node_11,0,,1,-2.7615945,2.9450831,8.800348,7291.jpg
